slab,epoch,total_epoch,training_elapsed_sec,total_loss,pde_loss,ic_loss,bc_loss,bc_gradient_loss
0,1,1,0.18160977959632874,5.842935562133789,5.417057037353516,0.38685327768325806,0.03354480862617493,0.005480421707034111
0,100,100,3.4743505343794823,0.005946161691099405,0.000579087994992733,0.004282190930098295,2.717457027756609e-05,0.0010577080538496375
0,200,200,6.409551255404949,0.0044304439797997475,0.00012967025395482779,0.004214363172650337,2.52908757829573e-05,6.111950642662123e-05
0,300,300,9.338365312665701,0.004311017692089081,5.216340650804341e-05,0.004216529428958893,2.2716500097885728e-05,1.9608516595326364e-05
0,400,400,12.273738466203213,0.004276737570762634,2.3553591745439917e-05,0.00421909149736166,1.737626371323131e-05,1.6716150639695115e-05
0,500,500,15.216900669038296,0.004258628468960524,1.1938422176172026e-05,0.00421953247860074,1.3923620826972183e-05,1.3233579920779448e-05
0,600,600,18.336054377257824,0.004252936225384474,7.221103260235395e-06,0.004219426773488522,1.2955060810782015e-05,1.3333190509001724e-05
0,700,700,21.89944899827242,0.004250778816640377,5.487644102686318e-06,0.004218908492475748,1.2368812349450309e-05,1.4013470718055032e-05
0,800,800,25.10903238505125,0.004248022101819515,5.057635462435428e-06,0.004217706620693207,1.2251432053744793e-05,1.3006258086534217e-05
0,900,900,28.04210077598691,0.004245698917657137,4.916617399430834e-06,0.004216408357024193,1.1306950000289362e-05,1.3067334293737076e-05
0,1000,1000,30.97451712191105,0.00424536457285285,4.6380564526771195e-06,0.00421565119177103,1.154799792857375e-05,1.3527532246371266e-05
0,1100,1100,33.91156265512109,0.004242376424372196,4.96381562697934e-06,0.0042138476856052876,1.173222335637547e-05,1.1832516975118779e-05
0,1200,1200,36.852941300719976,0.004240197595208883,4.245481250109151e-06,0.004212929867208004,1.1311063644825481e-05,1.1711321349139325e-05
0,1300,1300,39.80099016800523,0.004239599220454693,4.8521769713261165e-06,0.004210928454995155,1.1503641871968284e-05,1.2314701962168328e-05
0,1400,1400,42.739000022411346,0.004236995708197355,4.876207640336361e-06,0.004208901431411505,1.0935756108665373e-05,1.22824203572236e-05
0,1500,1500,45.685368947684765,0.004234882537275553,4.765218363900203e-06,0.004206521436572075,1.1556941899470985e-05,1.2039023204124533e-05
0,1600,1600,48.63417135179043,0.004233004059642553,4.519083177001448e-06,0.004204293712973595,1.1589882888074499e-05,1.260122826352017e-05
0,1700,1700,51.58378152921796,0.004231588914990425,5.289336513669696e-06,0.004201970063149929,1.213134964928031e-05,1.2197778232803103e-05
0,1800,1800,54.51559219509363,0.004229338373988867,4.467612598091364e-06,0.004199563525617123,1.1419402653700672e-05,1.3887834938941523e-05
0,1900,1900,57.45680045709014,0.004227104596793652,6.507203579531051e-06,0.004197834059596062,1.0585354175418615e-05,1.2178168617538176e-05
0,2000,2000,60.40511455386877,0.004223098047077656,4.8801657612784766e-06,0.004194033332169056,1.082803191820858e-05,1.3356628187466413e-05
0,2100,2100,63.355880092829466,0.0042202225886285305,4.751193046104163e-06,0.0041909003630280495,1.0323508831788786e-05,1.4247394574340433e-05
0,2200,2200,66.30729074403644,0.004215667024254799,4.935690412821714e-06,0.004185959696769714,1.118860200222116e-05,1.3583431609731633e-05
0,2300,2300,69.252356082201,0.004214632790535688,8.054469617491122e-06,0.004181350115686655,1.0623327398207039e-05,1.4604899661208037e-05
0,2400,2400,72.18643720075488,0.004222771152853966,1.989455267903395e-05,0.00417586462572217,1.0658983228495345e-05,1.635292028367985e-05
0,2500,2500,75.07916665822268,0.0042041451670229435,6.09008566243574e-06,0.004171037580817938,1.0015853149525356e-05,1.7001917512970977e-05
